"ra","dec","magnitude","class","z","x","y"
"163.45802","28.940998","19.80531","QSO","1.559689","44.61811","118.2999"
"163.78919","27.642035","19.82626","QSO","3.20871","109.0811","-164.2908"
"164.39226","28.064234","19.83148","QSO","2.116544","224.5906","-71.54026"
"164.12502","28.659485","19.90369","QSO","0.5986422","172.1953","57.66133"
"163.6129","27.047377","19.92985","QSO","1.099798","75.57154","-294.2643"
"164.41351","29.203126","19.95655","GALAXY","0.5831097","226.3302","176.6781"
"163.95913","28.801843","19.98992","QSO","0.8152047","140.2928","88.43291"
"164.49109","27.434139","19.98997","QSO","1.102117","245.3566","-208.8963"
"163.17814","28.083702","19.99419","QSO","2.996715","-8.748319","-68.27178"
"162.95306","29.032793","20.00565","QSO","3.283668","-51.51462","138.3263"
"162.77537","27.924254","20.0179","QSO","1.864809","-86.21912","-102.8627"
"164.5887","27.558098","20.03908","QSO","2.460016","263.9373","-181.6425"
"163.98495","27.824597","20.06127","QSO","1.505456","146.5913","-124.3252"
"163.09284","27.328128","20.06508","QSO","0.6487635","-25.32828","-232.9421"
"163.79413","27.514236","20.12944","GALAXY","0","110.1811","-192.1474"
"163.14122","28.57514","20.13496","QSO","1.638095","-15.75627","38.60949"
"164.0704","29.227611","20.16323","QSO","1.664597","160.9475","181.3681"
"164.18408","28.485602","20.16427","QSO","0.9119771","183.7863","19.88665"
"162.49219","27.831556","20.17743","QSO","1.040939","-140.8615","-122.8295"
"163.435","28.827888","20.17777","QSO","1.90054","40.26672","93.65008"
"163.8012","28.819668","20.18404","QSO","1.510291","110.1224","92.13053"
"164.57202","28.222836","20.2601","GALAXY","0.890708","258.8011","-36.64685"
"163.91169","28.029565","20.35531","GALAXY","0.778817","132.1793","-79.75608"
"163.83552","28.759444","20.38746","QSO","0.6690392","116.7313","79.05163"
"163.96498","27.54539","20.4781","QSO","1.798482","143.1541","-185.2009"
"163.70833","28.672684","20.48083","GALAXY","0.866062","92.49717","60.03422"
"164.16788","28.055822","20.49551","GALAXY","0.9262437","181.4219","-73.73399"
"163.34528","28.483996","20.61587","GALAXY","0.7257944","23.21458","18.79032"
"164.09976","27.967749","20.82249","GALAXY","0.8590813","168.466","-93.00967"
"163.96822","27.920379","20.8304","GALAXY","0.9000986","143.2147","-103.4817"
"164.47794","27.536792","20.84384","GALAXY","0.76043","242.4592","-186.4504"
"163.42187","28.92055","20.84494","GALAXY","0.7693403","37.72554","113.828"
"162.79472","29.025715","20.87339","GALAXY","0.651388","-81.67981","136.8891"
"163.70216","27.31941","20.88138","QSO","0.6246661","92.60226","-234.7108"
"163.29236","28.733507","20.89211","GALAXY","0.7961287","13.07451","73.06157"
"162.35923","28.932725","20.92476","GALAXY","0.7902803","-164.7781","117.1339"
"163.70518","28.173343","20.9412","GALAXY","0.824867","92.32454","-48.62033"
"163.24045","28.130112","21.01838","GALAXY","0.7580206","3.192288","-58.18043"
"163.32153","27.222213","21.03667","GALAXY","0.722634","18.93419","-256.0747"
"161.69625","28.397419","21.04808","GALAXY","0.9548684","-292.8751","1.822047"
"164.05937","27.148933","21.06437","GALAXY","0.9040225","162.1584","-271.7851"
"162.24458","27.979035","21.06455","GALAXY","1.50093","-188.3262","-90.39651"
"163.01773","29.461758","21.06499","GALAXY","0.9387005","-39.08417","231.8306"
"161.94618","27.871564","21.10074","GALAXY","0.6777468","-246.0821","-113.3223"
"163.57613","28.020107","21.1095","GALAXY","0.8111552","67.67218","-82.04823"
"163.19474","27.430357","21.1516","QSO","1.559437","-5.617383","-210.6633"
"164.36466","29.112924","21.15547","GALAXY","1.209286","217.1662","156.8846"
"163.91308","28.828206","21.15802","GALAXY","1.050301","131.4592","94.1152"
"163.63368","28.705701","21.15845","GALAXY","0.8116558","78.21551","67.1608"
"164.685","28.132918","21.17673","GALAXY","0.8507807","280.8188","-56.00512"
"163.09589","27.282805","21.17832","GALAXY","0.8022798","-24.76409","-242.8402"
"164.63357","28.927569","21.18678","GALAXY","0.7985992","268.9361","117.087"
"164.14798","28.136219","21.18997","GALAXY","0.9810786","177.4522","-56.25137"
"163.66133","28.165067","21.20882","GALAXY","0.7939934","83.91512","-50.44924"
"162.74472","28.068974","21.21132","GALAXY","0.80058","-91.98701","-71.33378"
"164.22114","28.024765","21.21337","GALAXY","1.052143","191.7274","-80.42191"
"162.0969","28.194781","21.21762","GALAXY","1.141131","-216.3071","-43.16397"
"162.74849","28.899311","21.21777","QSO","0.7851064","-90.57465","109.3851"
"162.54338","29.146611","21.22239","GALAXY","0.9031245","-129.4205","163.4931"
"162.99657","28.103325","21.22584","QSO","0.9794335","-43.5984","-63.97512"
"162.67327","28.975766","21.22931","GALAXY","0.8145129","-104.8531","126.1154"
"162.87345","26.941783","21.23015","QSO","0.07259259","-68.13572","-317.4912"
"162.28176","29.166404","21.23249","GALAXY","0.8578892","-179.1916","168.1857"
"162.51427","28.56565","21.23759","GALAXY","0.8909122","-135.6349","36.97797"
"162.2244","28.936962","21.23946","GALAXY","1.017474","-190.4936","118.2742"
"162.79584","29.222999","21.24617","GALAXY","0.7549778","-81.33575","179.892"
"163.26849","28.530259","21.26716","GALAXY","0.6396346","8.535653","28.84018"
"163.62632","28.444941","21.26718","GALAXY","0.8449081","76.98103","10.41711"
"162.04838","28.076119","21.27543","QSO","4.005781","-225.894","-68.92732"
"163.70992","27.893858","21.2758","GALAXY","0.8424448","93.5176","-109.4751"
"163.14092","29.246466","21.28519","GALAXY","1.032689","-15.74804","184.8444"
"162.79307","29.642478","21.28538","GALAXY","0.7677773","-81.58989","271.4504"
"164.55386","28.472114","21.29343","GALAXY","0.8470973","254.7007","17.62541"
"163.12471","27.728645","21.30072","GALAXY","0.6943773","-19.09283","-145.618"
"162.9716","28.056192","21.30583","GALAXY","0.8867045","-48.41603","-74.22633"
"164.50089","28.974679","21.30678","QSO","2.630643","243.4418","127.0342"
"164.8216","28.635647","21.31217","GALAXY","0.9899405","305.7727","53.92418"
"162.44454","29.00357","21.31433","GALAXY","0.7945157","-148.4151","132.4475"
"164.69747","28.87429","21.32231","GALAXY","0.8369253","281.3105","105.6351"
"163.90668","27.835583","21.33224","GALAXY","0.8473083","131.4818","-122.0171"
"163.14338","28.303442","21.34232","GALAXY","0.23964","-15.39584","-20.47411"
"161.6711","27.935781","21.34895","QSO","0.4883885","-299.1406","-98.79306"
"164.66809","28.507694","21.35802","STAR","-3.503937E-05","276.5648","25.639"
"163.35879","28.079153","21.36057","GALAXY","0.9320689","25.90404","-69.25977"
"163.77763","28.104698","21.36429","GALAXY","0.7886515","106.3112","-63.51097"
"162.52542","28.347763","21.36466","GALAXY","0.7396184","-133.7695","-10.46124"
"162.72966","28.002105","21.36714","STAR","5.661708E-06","-94.93391","-85.87825"
"163.08355","27.991401","21.3697","GALAXY","0.7666861","-26.94211","-88.36052"
"163.11541","27.123489","21.37095","GALAXY","0.7224762","-21.02274","-277.6518"
"162.91804","27.645474","21.37572","GALAXY","1.336307","-58.97281","-163.6947"
"163.53721","28.923574","21.37921","GALAXY","0.7939585","59.69898","114.5438"
"163.25593","29.304239","21.38383","GALAXY","0.757221","6.100116","197.4359"
"163.10093","27.720631","21.38449","GALAXY","0.9264175","-23.67699","-147.3616"
"163.04525","29.591107","21.38686","GALAXY","0.8005606","-33.82983","260.0578"
"164.39179","28.133083","21.39218","GALAXY","0.9059494","224.3387","-56.54734"
"162.5618","27.031519","21.39488","QSO","0.4848697","-128.6394","-297.6581"
"163.1042","29.484371","21.39568","GALAXY","0.7868325","-22.67992","236.7378"
"162.87863","27.222242","21.40109","GALAXY","0.9523118","-66.87672","-255.999"
"162.77198","28.769138","21.40606","GALAXY","0.8143192","-86.18365","81.01176"
"164.72176","28.595175","21.40621","GALAXY","0.7640544","286.65","44.83337"
"164.47244","27.916856","21.41551","GALAXY","0.8236675","240.3738","-103.5181"
"164.5021","28.737268","21.41869","GALAXY","0.8683469","244.1739","75.28585"
"162.40162","28.085256","21.42246","GALAXY","1.147153","-157.9262","-67.4707"
"162.05806","28.219513","21.42267","GALAXY","0.8342631","-223.7193","-37.70762"
"162.70785","29.126413","21.42653","GALAXY","0.7804692","-98.14251","158.9131"
"164.11526","29.064008","21.42768","STAR","5.580899E-05","169.7207","145.772"
"163.98697","28.998171","21.43175","QSO","0.6175146","145.353","131.2385"
"164.15093","28.500404","21.43194","GALAXY","0.9002061","177.3994","23.05551"
"162.91884","29.009763","21.43941","GALAXY","0.8161214","-58.05397","133.3251"
"162.90388","29.619706","21.43987","GALAXY","1.001718","-60.6049","266.3807"
"163.14311","27.798804","21.44527","GALAXY","0.7717826","-15.53505","-130.3272"
"162.98782","29.558078","21.45201","GALAXY","0.725736","-44.72258","252.8668"
"162.91377","27.023891","21.45496","GALAXY","0.8032679","-60.21746","-299.4404"
"162.69342","27.4391","21.45633","GALAXY","0.6792403","-102.53","-208.5619"
"163.41718","29.21126","21.46312","GALAXY","1.127433","36.75062","177.1945"
"164.33375","28.333039","21.46637","GALAXY","0.7854493","212.7662","-13.09567"
"162.11897","28.375894","21.47088","GALAXY","0.7951665","-211.6984","-3.755445"
"162.8532","27.92964","21.47117","GALAXY","0.843563","-71.25678","-101.7373"
"162.93855","28.76053","21.4717","GALAXY","1.062789","-54.40254","79.02041"
"164.27343","28.971401","21.47965","GALAXY","0.7733829","200.0156","125.8532"
"163.46379","29.653158","21.48648","GALAXY","0.9826379","45.44855","273.6464"
"164.26053","29.353884","21.49473","GALAXY","0.9066233","196.9405","209.2667"
"162.95018","28.045009","21.49797","GALAXY","0.5897083","-52.53589","-76.65352"
"162.0538","27.861875","21.50325","GALAXY","0.7091057","-225.3317","-115.6218"
"163.60587","28.171672","21.50408","GALAXY","0.7861236","73.26612","-49.04287"
"164.66318","28.164855","21.50598","GALAXY","0.6097603","276.5182","-49.09028"
